Date,Scheme Name,Store Name,Item Name,Member Account Code,Invoice,Sales Qty,Sales Amt
5/27/2021,PLATINUM,TIFFANY - TTP,18R HLFDI T1 NRWRG6-67795350,09001886,000000P105000000062,1,48742000.00
5/27/2021,PLATINUM,TIFFANY - TTP,18RHLFDIT1NRWHNGBGLMD-68315786,09001886,000000P105000000063,1,285227000.00
5/27/2021,PLATINUM,TIFFANY - TTP,18RDI MOP TTWOSMCLPDT1618-67467582,09001886,000000P105000000064,1,64989000.00
5/28/2021,PLATINUM,TIFFANY - TTP,PT DI XMN HRT ER-61101268,13000482,000000P105000000066,1,64989000.00
5/28/2021,PLATINUM,TIFFANY - TTP,PT18Y CUDI 69FI-63729191,05000604,000000P105000000067,1,328553000.00
5/28/2021,PLATINUM,TIFFANY - TTP,18R MN HEART KEY-24464733,60084750,000000P105000000068,1,19858000.00
5/28/2021,PLATINUM,TIFFANY - TTP,18R PENDANT CHAIN 18IN-25508335,60084750,000000P105000000068,1,8666000.00
5/28/2021,PLATINUM,TIFFANY - TTP,SS OLVLF NRW CUFF MD-31862949,60084750,000000P105000000068,1,24371000.00
5/29/2021,MEMBER,TIFFANY - TTP,18W T SMILE SM PDT16 18-35189424,60081983,000000P105000000069,1,26176000.00
5/29/2021,PLATINUM,TIFFANY - TTP,18R ONYX T WIRE BLT SM-64028669,60079623,000000P105000000070,1,60476000.00
5/29/2021,PLATINUM,TIFFANY - TTP,18R ONYX T WIRE RG 4 5-64027425,60079623,000000P105000000070,1,46034000.00
5/29/2021,PLATINUM,TIFFANY - TTP,18RDIONYX T TWO CLPDT1618-64026992,60079623,000000P105000000070,1,79431000.00
5/30/2021,MEMBER,TIFFANY - TTP,SS EXEC TCLIP TB BRS BPEN-37361399,60084752,000000P105000000071,1,6680000.00
5/30/2021,MEMBER,TIFFANY - TTP,TFTRAVEL LTH PSPT CVR BLK-62205245,60084753,000000P105000000072,1,7402000.00
5/30/2021,MEMBER,TIFFANY - TTP,TFTRAVL LTH PSPT CVR TFBL-62271531,60084753,000000P105000000072,1,7402000.00
5/30/2021,MEMBER,TIFFANY - TTP,SS PK MNRT HRT 4MMBDBLTSM-30978838,60084754,000000P105000000073,1,6229000.00
5/30/2021,MEMBER,TIFFANY - TTP,18R DI BG T SQR PDT 16 18-62996021,20000751,000000P105000000074,1,55060000.00
6/1/2021,NEW,TIFFANY - TTP,18Y DI OPEN RD MN KEY-62230126,60084755,000000P105000000075,1,37008000.00
6/1/2021,NEW,TIFFANY - TTP,18Y PENDANT CHAIN 16IN-21921394,60084755,000000P105000000075,1,8666000.00
6/2/2021,PLATINUM,TIFFANY - TTP,18R DI MOP T WIRE BLT SM-64028596,60081814,000000P105000000076,1,92067000.00
6/5/2021,MEMBER,TIFFANY - TTP,18W DI SM ATL PRCD KEY-35252975,60084756,000000P105000000077,1,33397000.00
6/5/2021,MEMBER,TIFFANY - TTP,PT 16IN CHAIN-21803642,60084756,000000P105000000077,1,14081000.00
6/6/2021,PLATINUM,TIFFANY - TTP,SS18RRTTLADYBUGCHNBLTXSSM-67071492,09001516,000000P105000000078,1,14713000.00
6/6/2021,MEMBER,TIFFANY - TTP,SS BL MNRTT 2HRT PDT 16IN-27125107,60084757,000000P105000000079,1,5416000.00
6/6/2021,MEMBER,TIFFANY - TTP,18Y DI SM ATL PRCD KEY-35252991,60084758,000000P105000000080,1,33397000.00
6/6/2021,MEMBER,TIFFANY - TTP,18Y PENDANT CHAIN 16IN-21921394,60084758,000000P105000000080,1,8666000.00
6/9/2021,PLATINUM,TIFFANY - TTP,18R OLVLF EAR CLIMBER ER-60702586,99000328,000000P105000000081,1,22566000.00
6/9/2021,PLATINUM,TIFFANY - TTP,SS RTT LV HRT KEY BLT SM-36812591,09001516,000000P105000000082,1,11554000.00
6/9/2021,MEMBER,TIFFANY - TTP,SS BL MNRTTHRT 4MMBDBLTSM-27630146,60084759,000000P105000000083,1,6229000.00
6/9/2021,MEMBER,TIFFANY - TTP,SS BL MNRTTHRT 4MMBDBLTSM-27630146,60084760,000000P105000000084,1,6229000.00
6/11/2021,MEMBER,TIFFANY - TTP,18W TURQ T WIRE BLT MD-64028952,60084761,000000P105000000085,1,65892000.00
6/11/2021,MEMBER,TIFFANY - TTP,SS BL MNRTTHRT 4MMBDBLTSM-27630146,60084762,000000P105000000086,1,6229000.00
6/12/2021,MEMBER,TIFFANY - TTP,SS BL MNRTTHRT 4MMBDBLTMD-26659604,60084763,000000P105000000087,1,6229000.00
6/12/2021,PLATINUM,TIFFANY - TTP,PT DI 61TW TIF SLST ER-28646453,60081037,000000P105000000089,1,184134000.00
6/12/2021,MEMBER,TIFFANY - TTP,SS BL MNRTT 2HRT PDT 16IN-27125107,60084764,000000P105000000090,1,5416000.00
6/13/2021,MEMBER,TIFFANY - TTP,SS HPKMNRTTHRT4MMBDBLTXS-63686115,60084765,000000P105000000091,1,6229000.00
6/13/2021,MEMBER,TIFFANY - TTP,18W T SMILE SM PDT16 18-35189424,60084766,000000P105000000092,1,26176000.00
6/15/2021,MEMBER,TIFFANY - TTP,18R MD T WIRE BANGLE LG-33419767,60084767,000000P105000000093,1,60476000.00
6/17/2021,PLATINUM,TIFFANY - TTP,SS RD RTTMNHRT 4MMBDBLTMD-61941797,22000014,000000P105000000094,1,6229000.00
6/17/2021,PLATINUM,TIFFANY - TTP,PT 16IN CHAIN-21803642,60084768,000000P105000000095,1,14803000.00
6/17/2021,PLATINUM,TIFFANY - TTP,PT DI MDRBORNFLEURDLISKEY-60660026,60084768,000000P105000000095,1,150738000.00
6/18/2021,MEMBER,TIFFANY - TTP,18R DI MN VICTORIA KEY-62867019,60084769,000000P105000000096,1,68599000.00
6/18/2021,MEMBER,TIFFANY - TTP,18R PENDANT CHAIN 16IN-25508327,60084769,000000P105000000096,1,9388000.00
6/18/2021,PLATINUM,TIFFANY - TTP,PTDI TIFESN DBMG 4MM 6-27897711,60065619,000000P105000000097,1,55963000.00
6/18/2021,PLATINUM,TIFFANY - TTP,PTDI TIFESN DBMG 4MM 7 5-27897754,60065619,000000P105000000097,1,55963000.00
6/19/2021,GOLD,TIFFANY - TTP,SS MINI RTT HEART STUD ER-23900564,20000178,000000P105000000098,1,6229000.00
6/19/2021,GOLD,TIFFANY - TTP,18R T WIRE BLT MD-33263465,59000063,000000P105000000099,1,60476000.00
6/20/2021,MEMBER,TIFFANY - TTP,SS SM RTT HRTTG BD BLT XS-67127625,60084770,000000P105000000100,1,11464000.00
6/20/2021,PLATINUM,TIFFANY - TTP,SS MN RTT HRT4MM BD BLTSM-27631886,60084771,000000P105000000101,1,6229000.00
6/20/2021,GOLD,TIFFANY - TTP,18W T TWO DI NRW RG 5-36815884,60084772,000000P105000000102,1,86652000.00
6/20/2021,GOLD,TIFFANY - TTP,18W T TWO NRW RG 7 5-36815264,60084772,000000P105000000102,1,43326000.00
6/21/2021,MEMBER,TIFFANY - TTP,SS BLMNRTTHRT4MMBD BLT XS-63686085,60085056,000000P105000000103,1,6229000.00
6/22/2021,MEMBER,TIFFANY - TTP,SS BL MNRTTHRT 4MMBDBLTSM-27630146,60085057,000000P105000000104,1,6229000.00
6/22/2021,MEMBER,TIFFANY - TTP,SS PINK MN RTT 2HRT PDT16-28751249,60085057,000000P105000000104,1,5416000.00
6/22/2021,PLATINUM,TIFFANY - TTP,18W DI T SMILE SM BLT MD-36667192,05001498,000000P105000000105,1,72210000.00
6/22/2021,PLATINUM,TIFFANY - TTP,18W DI T WIRE BLT MD-33263473,05001498,000000P105000000106,1,114633000.00
6/22/2021,NEW,TIFFANY - TTP,SS MN 1837 INTLK BLT ADJ-35505903,60076597,000000P105000000107,1,10832000.00
6/23/2021,PLATINUM,TIFFANY - TTP,18R DI T WIRE FC RING 6 5-34901538,60085058,000000P105000000108,1,80333000.00
6/23/2021,PLATINUM,TIFFANY - TTP,PT VICT SM DI ER-11833187,60085058,000000P105000000108,1,200381000.00
6/25/2021,MEMBER,TIFFANY - TTP,18R DI .03TW T SMILE MN PDT-63843385,60085059,000000P105000000109,1,40618000.00
6/25/2021,PLATINUM,TIFFANY - TTP,18Y DI 13 CROWN KEY-25524942,20002141,000000P105000000110,1,92067000.00
6/25/2021,PLATINUM,TIFFANY - TTP,18Y PENDANT CHAIN 16IN-21921394,20002141,000000P105000000110,1,9388000.00
6/25/2021,MEMBER,TIFFANY - TTP,SS BL MNRTTHRT 4MMBDBLTSM-27630146,60085060,000000P105000000111,1,6229000.00
6/26/2021,MEMBER,TIFFANY - TTP,SS RTT MN HRT DGLRG 4 5-35243593,60085061,000000P105000000112,1,11554000.00
6/26/2021,MEMBER,TIFFANY - TTP,SS RTT MINI 2 HRT PDT16IN-22309307,60085062,000000P105000000113,1,5416000.00
